Key,Русский,English,繁體中文
Lvl2.Text1,"Незнакомая комната… Все вокруг слишком реально, чтобы быть сном. ",A strange room… Everything around me feels too real to be a dream.,好奇怪的房間……這周圍的一切也太真實了，簡直不像是夢。
Lvl2.Text2,Зачем я пошла за этим светлячком?,Why did I follow that firefly?,為什麼我要跟著那隻螢火蟲？
Lvl2.Text3,"На обложке написано ""Аналитическая механика"". Кажется, я попала в библиотеку какого-то учебного заведения.","The cover reads ""Analytical Mechanics"". Looks like I’ve wandered into the library of some academic institution.",封面上寫著《分析力學》。我似乎誤打誤撞進了一家學術機構的圖書室。
Lvl2.Text4,Кто-то исписал несколько листов бумаги формулами.,Someone's scribbled pages full of formulas.,寫滿了公式的演算紙，不知是誰的。
Lvl2.Text5,Кто-то зажег свечу...,Someone lit a candle…,不知是誰點的蠟燭……
Lvl2.Text6,,,
Lvl2.Text7,,,
Lvl2.Text8,,,
Lvl2.Text9,,,
Lvl2.Text10,,,
Lvl2.Text11,Так это вы! Вы заманили меня сюда?!,So it was you! You lured me here?!,原來是你！是你把我引到這裡來的？！
Lvl2.Text12,"Мадемуазель, о чём вы говорите?","Mademoiselle, what are you talking about?",小姐，你在說些什麼呢？
Lvl2.Text13,"Не притворяйтесь! Я уже час блуждаю здесь в полном одиночестве. Кто, кроме вас, мог устроить эту ловушку?!",Don't pretend! I've been wandering here alone for an hour. Who else could have set this trap?!,別裝傻了！我已經在這裡獨自一人轉了快一個小時了。除了你，還有誰能設下這個圈套？
Lvl2.Text14,Клянусь Господом Богом и самой Францией — я не виновен!,I swear by Almighty God and by France herself — I am innocent!,我以全能的上帝和法蘭西的名義起誓——真的不是我！
Lvl2.Text15,Бог и Франция... Для негодяев пустой звук!,God and France... Empty words to villains!,什麼上帝、法蘭西……對惡人來說只是些空話而已！
Lvl2.Text16,"Клянитесь чем-то, что вам действительно дорого.",Swear by something you truly hold dear.,有本事，就拿你真正珍視的東西發誓。
Lvl2.Text17,"И чем же, по-вашему?",And what would you have me swear by?,那你想讓我用什麼發誓呢？
Lvl2.Text18,Это вы изрисовали те листы формулами?,Were you the one who scribbled all those pages full of formulas?,那些寫滿公式的演算紙是你的嗎？
Lvl2.Text19,Я...,Yes…,是……
Lvl2.Text20,Мой отец тоже большой любитель тратить бумагу на математические каракули. Для него нет ничего важнее. ,My father also has a passion for wasting paper on mathematical doodles. Nothing is more important to him.,我父親也愛把紙浪費在這些數學的塗塗畫畫上。對他而言，再沒比這更重要的事了。
Lvl2.Text20.5,"Если вы такой же чудак, поклянитесь своими рукописями!","If you’re just as odd, then swear on your manuscripts!",如果你也是這種怪人，不如就對著你的那些演算紙發誓吧！
Lvl2.Text21,Это странная просьба... Но хорошо. Я клянусь.,That's a strange request... But very well. I swear.,真是個古怪的要求……那好吧。我發誓。
Lvl2.Text22,"Что ж, допустим, я вам верю. Но тогда кто вы?",Then let’s say I believe you. But who are you?,那我就暫且相信你好了。你到底是什麼人？
Lvl2.Text23,"Мадемуазель, я оказался здесь так же, как и вы, но намного раньше.","Mademoiselle, I came here just like you did — only much earlier.",小姐，我來到這裡的方式和你是一樣的——只是比你早得多而已。
Lvl2.Text24,Я понял: вы здесь недавно. А я... я уже давно не считал дней.,I see — you are new here. As for me... I stopped counting the days long ago.,我明白了——你是新來的。至於我……早就連日子也不記了。
Lvl2.Text25,До вашего появления в этом мире я был совершенно один.,"Until you appeared, there was no one else in this world but me.",直到你出現之前，這個世界除了我，就沒有別人了。
Lvl2.Text26,В этом мире?,This world?,這個世界？
Lvl2.Text27,"Да, это не знакомый вам мир, он лишь кажется похожим. Улицы, здания — всё напоминает Париж, но здесь нет ни единой души.","Yes. It’s not the world you know. It only looks familiar. The streets, the buildings — they resemble Paris, but there’s not a single soul here.",是的。這並不是你所熟悉的那個世界，只是看起來很相似。那些街道和建築——和巴黎很像，但這裡連個鬼影都沒有。
Lvl2.Text28,"Я провёл здесь достаточно времени, чтобы убедиться в этом.",I’ve spent enough time wandering to be sure of that.,我在這耗費的工夫夠久了，我很確信這一點。
Lvl2.Text29,Я и правда никого здесь не видела…,I… I haven’t seen anyone else either…,我……我也沒看到過其他人……
Lvl2.Text30,"И ещё я обязан предупредить вас об опасности, с которой, к сожалению, уже столкнулся сам!",And there’s something else — something dangerous. I’ve encountered it myself.,這裡還有些別的東西——危險的東西。我曾經親眼見到過。
Lvl2.Text31,"Это тот самый светлячок, что заманил меня сюда! Нам надо его догнать!",That firefly! The very one that lured me here! We have to follow it!,是那隻螢火蟲！就是它把我引到這裡來的！我們必須跟著它！
Lvl2.Text32,,,
Lvl2.Text33,,,
Lvl2.Text34,,,
Lvl2.Text35,,,
Lvl2.Text36,,,
Lvl2.Text37,,,
Lvl2.Text38,,,
Lvl2.Text39,Герб Наполеона?.. Но Империи давно нет. Почему его еще не сняли? Он так и висит тут тридцать лет?,Napoleon’s coat of arms?.. But the Empire is long gone. Why hasn’t it been taken down? Has it really been hanging here for thirty years?,
Lvl2.Text40,,,
Lvl2.Text41,,,
Lvl2.Text42,,,
Lvl2.Text43,,,
Lvl2.Text44,,,
Lvl2.Text45,Что это за место?,What is this place?,
Lvl2.Text46,,,
Lvl2.Text47,,,
Lvl2.Text48,,,
Lvl2.Text49,"Судя по обложке, это учебник. Кажется, я попала в библиотеку какого-то учебного заведения.",This is a textbook. It seems I've ended up in the library of some educational institution.,
Lvl2.Text50,,,
Lvl2.Text51,,,
Lvl2.Text52,,,
Lvl2.Text53,Кто-то исписал эти листы формулами…,Someone scribbled formulas all over those pages…,
Lvl2.Text54,"Мадмуазель, как вы сюда попали?","Mademoiselle, how did you get here?",
Lvl2.Text55,"Это, наверное, прозвучит странно, но я увидела светлячка и пошла за ним. ","This might sound strange, but I saw a firefly and followed it.",
Lvl2.Text56,Вовсе нет. Я попал сюда точно так же.,Not strange at all. I ended up here the exact same way.,
Lvl2.Text57,"Но послушайте... Я обязан предупредить вас, это место опасно!","But listen… I must warn you, this place is dangerous!",
Lvl2.Text58,Что вы имеете в виду?,What do you mean?,
Lvl2.Text59,Это он! Тот самый светлячок. Мы должны поймать его!,Firefly! We have to catch it!,
Lvl2.Text60,,,
Lvl2.Text61,,,
Lvl2.Text62,,,
Lvl2.Text63,,,
Lvl2.Text64,,,
Lvl2.Text65,,,
