Key,Русский,English
Lvl6.Text1,"Видимо, нас приглашают войти.",It looks like we’re being invited to come in.
Lvl6.Text2,,
Lvl6.Text3,,
Lvl6.Text4,,
Lvl6.Text5,,
Lvl6.Text6,,
Lvl6.Text7,,
Lvl6.Text8,,
Lvl6.Text9,,
Lvl6.Text10,,
Lvl6.Text11,,
Lvl6.Text12,,
Lvl6.Text13,,
Lvl6.Text14,,
Lvl6.Text15,,
Lvl6.Text16,,
Lvl6.Text17,,
Lvl6.Text18,,
Lvl6.Text19,,
Lvl6.Text20,,
Lvl6.Text21,,
Lvl6.Text22,,
Lvl6.Text23,,
Lvl6.Text24,,
Lvl6.Text25,,
Lvl6.Text26,,
Lvl6.Text27,,
Lvl6.Text28,,
Lvl6.Text29,,
Lvl6.Text30,,
Lvl6.Text31,,
Lvl6.Text32,,
Lvl6.Text33,,
Lvl6.Text34,,
Lvl6.Text35,,
Lvl6.Text36,,
